district,agro_climatic_zone,soil_type,season,crop,area_hectares,nitrogen_kgha,phosphorus_kgha,potassium_kgha,soil_ph,organic_carbon_pct,rainfall_mm,temperature_celsius,irrigation_type,yield_qha
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),3.9,34.6,17.4,15.9,6.62,0.55,1201.8,29.7,Borewell,3.88
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,2.39,21.3,44.7,54.3,6.98,0.7,1444.9,28.8,Rainfed,9.82
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),1.62,130.9,51.6,38.3,6.33,0.61,1143.2,28.2,Canal,20.84
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),2.83,25.0,31.0,8.4,7.0,0.71,133.5,28.5,Rainfed,2.5
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),1.09,107.0,19.8,48.2,6.76,0.51,999.3,28.1,Borewell,15.4
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Green Gram (Moong),0.57,49.7,39.2,4.2,6.35,0.6,172.5,24.1,Borewell,3.13
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Mustard,0.85,61.0,19.6,24.0,6.74,0.46,155.0,20.1,Borewell,2.5
Sundargarh,North Western Plateau,Red Laterite,Rabi,Mustard,2.72,20.4,41.0,11.7,5.23,0.33,176.8,24.7,Borewell,5.4
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),1.44,133.9,77.3,53.3,6.73,0.77,185.7,21.9,Borewell,32.11
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,0.47,0.0,65.9,41.2,6.9,0.8,1082.3,29.5,Rainfed,3.0
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,0.88,34.0,66.2,44.2,7.19,0.34,1573.2,27.6,Borewell,14.18
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Maize,1.57,103.4,63.8,44.6,6.8,0.62,817.2,30.3,Rainfed,19.31
Sambalpur,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),0.72,132.2,68.8,34.0,7.06,0.26,124.9,27.1,Canal,22.54
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Ragi (Mandia),0.65,54.3,15.3,49.3,5.57,0.62,1080.8,29.4,Rainfed,8.0
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Mustard,1.11,82.4,38.5,21.2,6.47,0.39,115.4,21.5,Rainfed,7.51
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Paddy (Rabi),2.23,104.9,27.9,29.7,6.85,0.48,134.0,27.1,Rainfed,10.54
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.97,53.4,21.0,34.2,6.7,0.53,1540.5,28.1,Borewell,8.06
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),2.35,61.4,26.3,36.5,5.75,0.6,1392.3,24.3,Rainfed,7.72
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),3.69,75.6,20.4,3.7,5.72,0.51,1233.0,22.5,Rainfed,2.5
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Paddy (Kharif),0.69,66.1,18.9,40.3,7.53,0.49,1501.1,27.3,Borewell,8.58
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),0.71,102.7,32.1,60.4,6.07,0.4,161.8,21.5,Rainfed,20.83
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,1.69,31.6,51.8,46.2,5.99,0.44,1562.0,28.5,Rainfed,14.01
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Green Gram (Moong),1.83,0.0,35.0,35.1,6.84,0.37,169.5,22.3,Borewell,2.5
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.66,99.6,41.6,41.2,6.45,0.39,1404.0,28.2,Rainfed,17.61
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,0.29,119.0,55.6,27.6,5.83,0.65,1186.0,27.1,Rainfed,12.74
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),1.0,12.9,4.2,23.4,5.44,0.72,1604.3,25.0,Rainfed,4.06
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),0.81,91.4,52.1,52.1,6.61,0.8,82.2,21.1,Borewell,29.86
Mayurbhanj,North Central Plateau,Red Laterite,Rabi,Mustard,1.85,104.3,41.6,38.3,5.34,0.42,162.6,25.0,Rainfed,9.32
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Paddy (Kharif),1.56,104.2,49.4,35.8,5.12,0.55,1910.1,26.5,Rainfed,14.91
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),2.46,49.7,30.9,46.8,5.62,0.57,1581.2,30.9,Rainfed,8.04
Bargarh,Western Central Table Land,Alluvial,Kharif,Groundnut,0.86,6.5,70.1,61.2,6.95,0.81,1224.1,29.4,Canal,3.73
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),1.75,43.0,28.6,15.3,4.77,0.34,1473.7,22.3,Rainfed,5.16
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,0.52,85.9,39.6,35.6,6.66,0.55,1476.8,29.9,Rainfed,16.87
Sambalpur,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),0.93,129.8,32.9,58.6,6.01,0.49,234.3,25.8,Canal,15.93
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,1.11,134.0,50.3,46.3,6.39,0.55,1508.7,28.4,Borewell,19.51
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Ragi (Mandia),2.96,58.9,39.8,12.2,6.12,0.81,1497.1,23.5,Borewell,9.32
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,2.56,141.0,38.7,49.4,6.42,0.37,1379.7,25.6,Borewell,24.09
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.7,11.0,9.4,0.0,6.24,0.37,181.4,21.9,Borewell,2.5
Bargarh,Western Central Table Land,Black Soil,Kharif,Groundnut,1.68,37.3,53.6,41.6,7.37,0.52,1237.1,28.8,Canal,9.24
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,1.46,30.0,55.9,79.9,7.45,0.68,1373.1,25.8,Borewell,8.17
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,0.98,50.7,6.1,56.7,4.76,0.72,165.2,20.8,Borewell,2.5
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.54,66.8,57.3,56.2,6.6,0.81,1480.7,26.8,Canal,32.07
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),3.04,125.8,39.6,64.3,7.04,0.48,177.0,27.5,Canal,25.79
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,2.4,40.2,34.6,51.6,5.21,1.02,180.7,25.7,Borewell,4.44
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Paddy (Kharif),1.55,50.0,42.8,45.1,5.55,0.48,1510.1,25.8,Rainfed,7.79
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),2.26,111.0,58.1,16.9,7.16,0.32,1005.3,27.8,Rainfed,14.79
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),1.49,135.2,64.6,43.8,7.13,0.42,152.5,22.3,Borewell,27.98
Ganjam,South Eastern Coastal Plain,Red Laterite,Rabi,Green Gram (Moong),1.87,46.5,45.1,24.4,6.31,0.69,48.6,23.8,Rainfed,9.44
Sambalpur,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),1.77,95.8,37.1,45.7,6.97,0.6,125.9,24.7,Canal,21.24
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),1.06,122.1,67.4,75.0,6.2,0.57,1088.4,26.8,Borewell,29.75
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),3.08,36.0,20.3,12.5,5.64,0.4,1469.0,30.2,Borewell,6.69
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,1.98,38.5,48.5,62.2,6.46,0.59,728.9,29.2,Rainfed,9.73
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),1.11,78.8,66.8,46.9,6.06,0.7,132.9,23.8,Borewell,20.72
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,5.31,39.6,49.4,38.4,7.73,0.7,1223.2,27.8,Rainfed,8.79
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.53,134.4,52.6,47.4,7.55,0.53,1288.8,26.7,Canal,19.19
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Groundnut,1.69,46.2,51.7,68.0,5.69,0.59,1104.5,29.5,Rainfed,8.79
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Paddy (Kharif),0.57,104.7,38.5,65.1,6.79,0.72,1450.0,27.0,Rainfed,25.66
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Maize,1.25,121.8,33.5,20.3,5.99,0.5,1738.7,23.5,Rainfed,11.99
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,2.56,103.0,65.8,33.5,5.75,0.7,925.3,29.9,Borewell,19.74
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),1.19,87.0,42.4,17.4,5.4,0.56,1250.4,27.4,Rainfed,12.05
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,2.9,108.1,22.0,24.2,4.56,0.58,162.9,26.8,Rainfed,2.5
Mayurbhanj,North Central Plateau,Sandy Loam,Rabi,Mustard,0.98,74.8,21.7,38.3,5.66,0.31,205.2,22.7,Borewell,4.56
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),1.65,94.8,38.9,43.6,6.95,0.53,1243.3,27.2,Rainfed,12.89
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),1.4,117.4,41.3,73.3,6.78,0.65,1496.2,23.9,Rainfed,26.16
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,2.2,115.8,73.9,35.9,5.72,0.63,1767.8,24.2,Rainfed,18.89
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,1.16,66.5,27.9,0.0,6.37,0.66,133.9,24.8,Rainfed,2.5
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),1.57,91.0,45.1,34.9,6.41,0.27,1232.8,26.9,Canal,22.9
Bargarh,Western Central Table Land,Alluvial,Rabi,Paddy (Rabi),1.21,137.3,68.2,38.8,7.08,0.25,116.3,24.7,Canal,26.07
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),2.57,133.8,55.5,23.3,6.29,0.65,132.4,24.2,Borewell,19.13
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,0.67,89.1,44.1,71.5,5.44,0.57,1206.9,23.3,Rainfed,10.52
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),1.29,12.9,26.4,15.2,4.88,0.58,1226.8,20.6,Borewell,5.07
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,2.03,0.0,62.9,50.2,6.05,0.74,983.6,30.1,Borewell,2.5
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,1.13,50.5,57.3,33.2,6.73,0.61,1342.9,31.5,Borewell,11.13
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Ragi (Mandia),1.55,50.0,45.8,18.9,6.6,0.25,1388.4,26.6,Borewell,7.32
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Groundnut,2.64,44.4,20.9,49.4,7.31,0.5,1141.9,32.4,Borewell,9.95
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),2.46,47.1,32.3,36.8,5.58,0.53,939.6,27.3,Rainfed,14.02
Bargarh,Western Central Table Land,Alluvial,Rabi,Paddy (Rabi),2.81,69.3,47.1,61.3,7.17,0.34,198.1,28.0,Rainfed,25.87
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),1.02,59.6,18.6,20.0,5.08,0.76,1496.6,22.2,Rainfed,9.36
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),2.11,56.9,41.3,0.0,5.34,0.4,1248.3,25.9,Borewell,2.5
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.81,21.2,21.5,5.1,7.48,0.57,241.1,24.6,Borewell,2.5
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),1.49,113.9,38.8,29.0,6.52,0.28,1164.1,28.4,Canal,18.49
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),1.33,138.9,82.3,75.6,6.6,0.43,183.5,25.4,Canal,31.73
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Groundnut,1.58,8.1,61.9,46.2,7.2,0.5,1444.3,30.8,Borewell,8.53
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Ragi (Mandia),2.22,67.2,32.4,55.8,5.53,0.33,1311.7,29.1,Rainfed,12.19
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Maize,2.53,98.1,60.1,37.6,5.99,0.55,1139.6,30.5,Rainfed,19.37
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),3.65,0.0,15.6,20.1,6.42,0.59,169.8,22.4,Borewell,2.5
Sambalpur,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),2.28,115.8,51.2,63.7,6.39,0.4,150.9,25.1,Canal,26.38
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Maize,0.64,84.7,55.0,11.1,6.63,0.7,1234.5,31.4,Borewell,6.88
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,0.99,50.0,51.9,56.6,6.13,0.66,1374.5,27.8,Rainfed,8.01
Ganjam,South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),2.86,25.5,47.0,34.7,6.51,0.77,193.3,26.0,Borewell,6.1
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.73,49.0,51.0,62.7,6.71,0.62,1547.7,27.8,Rainfed,20.28
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),2.43,41.5,58.3,37.2,6.53,0.48,190.6,23.9,Borewell,8.36
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Paddy (Rabi),0.25,97.1,38.5,56.7,6.91,0.36,131.1,24.2,Canal,20.98
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,1.05,82.3,32.6,37.9,5.04,0.78,1223.0,24.6,Rainfed,8.07
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,0.66,68.3,89.1,36.7,6.16,0.48,821.4,32.5,Rainfed,10.84
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),1.01,94.1,58.1,56.0,7.18,0.61,1502.0,27.3,Rainfed,24.07
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,3.73,12.5,59.4,37.2,7.48,0.46,1542.3,29.1,Borewell,6.13
Mayurbhanj,North Central Plateau,Sandy Loam,Rabi,Mustard,1.81,16.6,9.3,17.6,5.72,0.64,144.5,21.2,Rainfed,2.5
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),1.0,66.2,65.9,50.9,6.33,0.52,151.9,23.9,Rainfed,25.25
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),0.46,112.4,53.9,43.6,6.48,0.59,127.5,26.2,Borewell,27.62
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),1.75,90.1,31.1,45.2,6.56,0.77,1742.4,27.0,Rainfed,21.64
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.68,91.3,65.9,15.7,6.39,0.65,1582.9,26.2,Rainfed,11.05
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,3.13,77.4,63.5,18.6,5.73,0.59,1088.6,30.7,Rainfed,11.13
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Maize,3.68,95.7,40.3,21.8,6.11,0.54,1594.3,25.2,Rainfed,9.92
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Maize,0.93,116.0,39.3,12.0,5.6,0.62,1554.1,26.8,Rainfed,8.21
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Ragi (Mandia),1.42,44.0,18.9,17.8,6.91,0.33,1586.3,30.3,Borewell,8.51
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,0.65,53.7,79.0,47.3,7.06,0.24,1184.5,28.2,Rainfed,12.51
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Mustard,2.88,60.1,61.0,19.7,6.23,0.38,196.3,22.7,Borewell,7.39
Bargarh,Western Central Table Land,Alluvial,Kharif,Groundnut,0.65,42.2,49.7,52.2,6.53,0.72,1298.5,29.9,Canal,14.8
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.95,86.7,35.2,39.2,6.26,0.68,1827.4,27.5,Borewell,21.97
Sundargarh,North Western Plateau,Red Laterite,Rabi,Mustard,1.33,45.5,39.9,20.5,5.7,0.28,119.9,22.9,Rainfed,4.13
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,1.83,55.5,55.0,43.5,7.58,0.48,1342.7,29.7,Borewell,7.79
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),1.09,49.5,37.1,25.6,6.78,0.58,1217.6,26.5,Borewell,9.28
Bargarh,Western Central Table Land,Black Soil,Kharif,Groundnut,1.94,17.0,41.7,43.8,6.68,0.73,1106.7,26.0,Canal,5.23
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Paddy (Kharif),0.41,70.4,50.3,35.2,5.71,0.28,1404.2,25.9,Borewell,17.0
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),2.89,56.3,36.3,6.0,7.33,0.72,1473.2,26.3,Borewell,2.76
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),2.78,70.9,10.4,29.3,5.69,0.63,1824.1,28.9,Rainfed,11.27
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Ragi (Mandia),1.04,32.8,26.0,20.9,6.78,0.58,948.6,28.1,Rainfed,5.59
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.97,77.0,24.7,53.9,6.73,0.39,1178.1,27.2,Rainfed,18.73
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Mustard,1.7,42.2,22.9,25.7,6.42,0.47,323.2,24.9,Borewell,4.03
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,1.73,92.0,38.8,27.8,5.96,0.49,218.0,23.0,Borewell,5.72
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),1.68,52.8,49.0,1.5,5.55,0.19,1295.6,22.6,Borewell,2.5
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.61,95.3,42.4,30.3,7.09,0.37,968.3,27.9,Borewell,16.72
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Groundnut,2.09,36.8,42.7,69.8,6.67,0.54,2149.4,25.7,Rainfed,13.54
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,0.76,74.6,53.3,33.5,5.54,0.39,1577.9,20.8,Rainfed,10.25
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,1.12,55.0,58.4,42.0,5.55,0.63,1523.6,24.7,Rainfed,7.98
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,1.09,61.8,24.3,48.0,5.89,0.53,172.0,21.6,Rainfed,5.32
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),1.65,126.1,20.1,45.4,6.13,0.69,1629.1,28.0,Rainfed,12.97
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),2.7,27.0,34.7,19.8,5.45,0.31,1423.6,22.2,Rainfed,6.99
Sambalpur,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),4.55,124.8,52.3,41.0,6.01,0.57,142.4,23.9,Canal,27.46
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.42,99.9,50.1,47.0,6.77,0.57,1385.4,28.5,Canal,19.38
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Green Gram (Moong),0.59,35.0,37.1,41.2,6.62,0.4,222.6,27.1,Borewell,5.95
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),1.43,48.2,6.8,28.6,5.2,0.42,1235.8,24.1,Rainfed,5.71
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),3.24,49.0,26.0,3.4,5.58,0.67,1231.1,22.5,Borewell,3.29
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Paddy (Kharif),0.86,86.2,68.9,26.3,6.93,0.65,1162.0,28.1,Rainfed,19.9
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),2.05,65.0,14.4,14.7,5.53,0.57,1675.9,24.3,Rainfed,2.51
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Paddy (Rabi),0.85,90.9,42.7,68.8,7.03,0.57,162.6,23.2,Borewell,28.37
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.89,48.6,52.2,48.3,6.26,0.55,1106.9,29.6,Canal,15.77
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Paddy (Kharif),4.46,130.8,58.2,41.9,6.25,0.21,1118.8,26.4,Rainfed,22.2
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Green Gram (Moong),2.68,23.6,41.5,36.9,7.27,0.46,119.9,25.8,Rainfed,6.05
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Groundnut,0.85,11.7,42.2,42.5,6.29,0.59,1228.2,28.7,Rainfed,3.42
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),2.33,52.7,8.4,17.1,6.94,0.55,142.2,23.4,Borewell,2.5
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Maize,0.83,93.0,48.6,33.7,6.43,0.5,1179.7,28.7,Canal,18.07
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,2.47,46.9,49.7,38.0,6.59,0.38,1773.0,28.3,Borewell,8.86
Ganjam,South Eastern Coastal Plain,Red Laterite,Rabi,Green Gram (Moong),2.96,47.5,35.3,7.5,6.33,0.53,170.0,24.8,Borewell,3.21
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),0.94,58.0,26.3,22.1,5.56,0.32,1591.6,20.9,Rainfed,7.38
Mayurbhanj,North Central Plateau,Red Laterite,Rabi,Mustard,1.89,106.3,35.4,62.1,5.76,0.68,170.2,22.5,Rainfed,8.36
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),3.32,126.9,46.7,41.9,6.66,0.45,1537.4,27.2,Rainfed,20.18
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,2.94,93.9,63.1,35.8,5.08,0.66,1543.4,27.6,Borewell,20.39
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Ragi (Mandia),1.2,29.0,31.0,24.1,6.49,0.53,1229.6,31.2,Borewell,5.98
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,1.24,57.7,17.7,7.9,6.92,0.55,107.1,22.7,Rainfed,4.12
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Paddy (Kharif),6.74,90.6,0.0,37.3,6.02,1.08,1612.8,26.7,Rainfed,2.64
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Maize,1.02,115.8,48.8,52.5,6.09,0.41,1191.8,31.2,Rainfed,16.91
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),3.15,84.8,61.2,37.1,6.77,0.41,196.1,22.8,Rainfed,20.33
Cuttack,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),1.53,118.2,43.4,41.9,6.57,0.9,1294.8,26.7,Borewell,23.04
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),2.26,62.7,21.3,20.9,7.25,0.57,1398.6,27.8,Rainfed,10.04
Ganjam,South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),2.85,33.5,43.3,13.5,6.4,0.78,183.8,25.1,Borewell,3.68
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Ragi (Mandia),2.8,81.2,27.5,0.3,5.75,0.56,1287.5,27.5,Borewell,2.5
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Green Gram (Moong),1.25,10.9,50.0,37.8,6.86,0.69,217.3,25.2,Canal,5.72
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.54,24.7,36.2,0.0,5.71,0.44,156.1,26.5,Rainfed,2.5
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Paddy (Kharif),0.97,88.3,55.2,34.7,6.64,0.52,1214.5,26.8,Rainfed,25.64
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Ragi (Mandia),1.69,69.2,29.0,22.7,6.11,0.35,1272.6,31.4,Borewell,7.16
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),1.94,95.5,19.0,59.1,6.5,0.37,118.7,21.3,Borewell,13.06
Bargarh,Western Central Table Land,Black Soil,Kharif,Groundnut,2.13,27.4,39.1,53.2,6.81,0.48,1500.2,28.0,Canal,9.21
Ganjam,South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),2.3,2.1,54.4,15.0,6.54,0.22,143.8,28.2,Borewell,2.5
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Green Gram (Moong),1.88,47.7,39.3,0.0,7.05,0.24,215.4,25.3,Borewell,2.5
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Groundnut,4.33,0.0,43.0,30.8,5.93,0.38,924.0,30.2,Rainfed,2.5
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),2.17,37.4,20.2,33.9,5.16,0.61,1570.5,21.5,Borewell,7.62
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),1.42,0.5,42.0,13.3,6.53,0.5,165.0,26.2,Borewell,2.5
Bargarh,Western Central Table Land,Alluvial,Kharif,Groundnut,1.01,21.1,51.5,70.7,6.84,0.82,1272.1,28.3,Canal,7.52
Sambalpur,Western Central Table Land,Black Soil,Rabi,Green Gram (Moong),2.36,11.2,64.9,15.5,6.66,0.46,178.0,22.8,Canal,3.71
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),0.48,124.0,62.3,77.9,6.07,0.4,229.4,24.2,Borewell,31.91
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,1.61,49.5,12.8,22.4,6.61,0.57,112.4,26.2,Rainfed,4.69
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Paddy (Rabi),0.8,137.4,58.1,61.3,6.81,0.66,98.8,20.7,Canal,31.27
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),2.44,34.0,8.2,10.7,5.47,0.45,1459.9,24.8,Rainfed,3.28
